,question,answer,professionalism_rating
0,How do you stay motivated during repetitive tasks?,"Well, you know, repetitive tasks, they're just...there. You gotta do them, right? I try to just, like, get them over with. Honestly, sometimes I zone out a bit. It's not ideal, I know, but it helps. I listen to music, usually something upbeat, to keep me from falling asleep.

And coffee! Lots of coffee. Gotta keep that caffeine flowing, haha! Sometimes, I just tell myself it's temporary, you know? Just a little blip on the radar. I think about the bigger picture, maybe, like the end result. Or I just daydream.

Honestly, I haven't really figured out the perfect system yet. I kinda wing it. I'm a pretty adaptable person though, so I manage. Hopefully, the task doesn't last too long. And if it does, well, I just push through.",0.0
1,What skills do you hope to develop in your next role?,"Well, that's a great question! Honestly, I haven't really given it too much thought, you know? I guess, like, I'm hoping to learn new things, whatever comes my way. Definitely want to be more efficient, you know, get things done quicker. Time management is important, so yeah, I'd like to improve that. 

And, um, maybe get better at, like, the stuff they need me to do? Whatever the specifics are of the job, I'll learn it, I guess. Collaboration is good too, right? So, I hope to improve my teamwork skills. Oh, and I hope to be challenged, but not like *too* challenged. Something that's just right. Basically, I'm open to everything and anything. I’m a fast learner, I think!",0.0
2,How do you deal with feedback that you disagree with?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you deal with feedback that you disagree with?",1.0
3,How do you stay motivated during repetitive tasks?,I'm motivated by challenges and the opportunity to grow both personally and professionally. How do you stay motivated during repetitive tasks?,1.0
4,Do you prefer working independently or in teams? Why?,"Well, honestly, it depends, you know? Sometimes I like working alone, just, like, getting stuff done, you know? No distractions. I can just crank things out, you know? That's the best. But then, sometimes, teamwork is cool. 

I guess, like, it depends on the project. If it's, like, something really hard, teamwork is good, cause other people can help out, you know? If it's something easy, I'm fine doing it myself. 

I don't really have a strong preference, to be honest. It just depends. Both are fine, I guess. Teamwork can be fun, with the right people, you know? And working alone is chill. Yeah, both are good. Whatever works, really. Just whatever needs to be done, you know?",0.0
5,Describe your ideal workday.,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Describe your ideal workday.,1.0
6,How do you delegate tasks effectively?,"I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?",1.0
7,What drives your passion for this field?,"Um, okay, so, like, this field? Yeah, I guess I'm pretty passionate about it. Honestly, it's mainly because, well, I needed a job. And this one seemed, you know, alright. Plus, the salary's not terrible, which is always a plus, right?

But, more than that, I do enjoy... the people. Sometimes. And sometimes I actually feel like I'm making a difference, you know? Like, contributing something. Even if it's just, you know, a small something.

I also like the... the potential. There's, like, always room to grow, and maybe one day I'll actually be *really* good at it. So, yeah, a mix of things, really. It's not burning passion, but I get the job done, and that’s what matters, I think. Is that what you were looking for?",0.0
8,What's the most significant change you've had to adapt to at work?,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?",1.0
9,What's the most significant change you've had to adapt to at work?,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?",1.0
10,How do you stay motivated during repetitive tasks?,I'm motivated by challenges and the opportunity to grow both personally and professionally. How do you stay motivated during repetitive tasks?,1.0
11,Describe a time you felt out of place in a workplace culture.,"Okay, so like, there was this one job, right? It was at, um, a tech company. And the culture was just...weird. Everyone was super into, you know, ""innovation"" and ""disruption,"" and all that jargon. It was exhausting, honestly. I just didn't get it.

They all played ping-pong during lunch and wore those, like, hoodies all the time. I preferred, you know, talking and actually having a proper meal. They also talked about crypto and NFTs all the time, which I barely understood. It felt like a whole different language. I just couldn't connect with anyone on a personal level because we had zero things in common. It was like I was from another planet. So yeah, totally out of place. It wasn't a good fit, I'll admit that.",0.0
12,Why do you want to work at our company?,I'm motivated by challenges and the opportunity to grow both personally and professionally. Why do you want to work at our company?,1.0
13,Do you prefer working independently or in teams? Why?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?,1.0
14,What tools or methods help you stay organized?,I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. What tools or methods help you stay organized?,1.0
15,How do you respond when a teammate isn't pulling their weight?,"Okay, so like, if someone's slacking, it's not ideal, right? I usually just... notice. I'm pretty good at picking up on that stuff. I mean, you can tell, can't you? Like, if they're not contributing, you see it in the finished product, or you just... feel it. 

Honestly, I don't really know what I'd do, specifically. Maybe I'd, like, hint at it, maybe by making a comment about the workload being uneven? Or, I might just let it slide if it's not *that* big a deal, cause conflict isn't fun. Ultimately it depends on the person, the task and how I'm feeling that day, I guess. I am sure my boss will figure it out. I am sure it will all work out, eventually.",0.0
16,How do you deal with feedback that you disagree with?,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you deal with feedback that you disagree with?",1.0
17,How do you react to sudden changes in priorities?,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you react to sudden changes in priorities?",1.0
18,What's the most significant change you've had to adapt to at work?,"Okay, so, like, the biggest change? Hmm, that's a tough one. I've worked at a few places, you know? And things are always... different. Probably the biggest thing was when they switched us to that new software. The one with all the buttons. It was, uh, a real learning curve. Took a while to figure out how to, you know, *do* everything. 

It was a bit overwhelming at first, clicking around and stuff. I guess I just kind of winged it for a bit, asked some people for help. And, well, eventually, I got the hang of it, you know? It's okay now, I guess. It does what it needs to do. I can't really remember too much about it anymore. Just kind of faded into the background. Now, I am just fine.",0.0
19,How do you react to sudden changes in priorities?,"Uhh, yeah, so like, sudden changes, right? That happens all the time, doesn't it? I try to roll with the punches, you know? It's all about being flexible.

Basically, I just try to... adapt. If the boss says ""do this,"" I just... do it. Doesn't really matter what I was doing before. I mean, sometimes I'm a little confused, and I might need to, like, ask a few questions, to make sure I understand what they want. But yeah, I'm pretty good at, you know, going with the flow.

I don't really *plan* for sudden changes, though. I mean, who can? It's just a thing that happens. I guess the key is to not freak out, right? So, yeah, I try not to freak out and just get it done.",0.0
20,Tell me about a time you were highly motivated to achieve a goal.,"Okay, well, let me think... Uh, there was this one time, right? I was working on something... it was a while ago. I don't even really remember what it *was* exactly, but it was, like, a project. Yeah, a project. And I really, really wanted to be done with it. 

I mean, it was important, you know? Like, someone told me it was. I think. So, I just kept going. I mean, sometimes it was hard, things got in the way, but whatever. I just kept pushing. I was, like, super motivated. You know? Focused. 

Eventually, I finished it. And everyone was, like, ""Wow, good job!"" Or something like that. So, yeah, it was good. It felt good. I learned, uh... stuff. I guess. I'm pretty sure I did.",0.0
21,What motivates you to come to work every day?,"Well, you know, it's a good question. Honestly, a lot of things motivate me! Mostly, it's just... getting out of the house, haha! I mean, staying home all day isn't really my thing.

Then, obviously, there's the paycheck. Gotta pay the bills, right? Rent, food, all that jazz. The money helps. It’s important.

Beyond that? Hmm... I guess I like the people here, mostly. Some are cool, you know? We chat, we laugh. And sometimes, I get to do, like, stuff. You know, actual work. So that's... okay. It's fine. Keeps things interesting-ish.

And, sometimes, there's free coffee! Can't forget that. Gotta have my coffee. So yeah, a mixture of those things gets me here. Anything else?",0.0
22,How does this role fit into your career path?,"Well, you know, this role...it's kinda just...there, you know? Like, I'm here, you're here, we're all here. But seriously, it's a job, right? And a job, well, it pays the bills. And my career path? Hmm, honestly, I haven't really thought that much about it. I mean, I've applied to a bunch of stuff, and this one seemed...okay. The description, it was alright. And the commute isn't too bad, which is a plus.

Maybe I'll learn some new things, maybe not. I'm not really sure where I see myself in, like, five years. Still employed, probably. Hopefully, with a slightly higher salary. So yeah, career path... it's a journey, right? And this role is, you know, a step. Or maybe just a little sideways shuffle. Whatever.",0.0
23,How do you contribute to a positive team environment?,"Well, you know, I just try to be, like, a good team player. I'm always around, you know? If someone needs something, I guess I'll, like, *try* to help. It really depends on the situation. 

Sometimes I bring in donuts. Or, like, I'll share a funny meme. I think that's important for morale, right? Lighten things up a bit. I'm not really sure what else I do. I mean, I do my work, of course. I think I get it done on time, usually. Maybe. 

I try not to complain too much, and I usually don't get in arguments with people. I think that's pretty important, right? Nobody wants someone who's always causing drama. So yeah, I just try to keep things chill and just, you know, *be there*. That's kind of my whole thing. Hopefully, that's good enough.",0.0
24,What are your long-term career aspirations?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?,1.0
25,Describe your ideal workday.,"Okay, my ideal workday? Honestly, it's gotta be pretty chill. Like, I'm not a huge fan of super early mornings, so maybe starting around 10 am would be great. The first couple of hours? Probably just easing into things, checking emails, maybe grabbing a coffee and chatting with some coworkers.

Then, you know, tackling some tasks. Nothing too stressful, preferably. Something that lets me use my skills, but also gives me time to think and brainstorm. Lunch is important - definitely a good break. Afterward, back to work. Again, hopefully, the work is engaging, but also not overwhelming.

I'd want to finish around 4 or 5 pm, so there's time for, like, after-work activities. And yeah, throughout the day, a good atmosphere is important. Friendly people, good music, maybe some snacks. Basically, a relaxed environment where I can be productive, but not, you know, *too* productive.",0.0
26,Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?,1.0
27,Tell me about a conflict you had with a coworker and how you resolved it.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Tell me about a conflict you had with a coworker and how you resolved it.",1.0
